,State/UT,District,Households,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
490,Gujarat,Valsad,2483935888.81,986122547.85757,611048228.6472601,32291166.554530002,22355422.99929,685566305.31156,1887791275.4956
491,Gujarat,Surat,36093844262.44,11152997877.09396,7146581163.963121,433126131.14928,180469221.3122,18010828286.95756,33856025918.16872
492,Gujarat,Tapi,477374431.21,173286918.52922997,142257580.50058,4773744.3121,3818995.44968,109796119.1783,369965184.18775004
493,Daman and Diu,Diu,3553225.0,451259.575,380195.075,10659.675,7106.45,1538546.425,2654259.075
494,Daman and Diu,Daman,50522242.41,13337871.996239997,18743751.93411,454700.18169,303133.4544599999,28949244.900929995,43853306.411879994
495,Dadra and Nagar Haveli,Dadra and Nagar Haveli,118337410.89,53843521.95495,24614181.465120003,946699.2871200001,236674.82178000003,31359413.88585,96208315.05357
496,Maharashtra,Nandurbar,1640347201.44,802129781.50416,478981382.82048005,63973540.85616,54131457.64752,365797425.92112,1041620472.9144
497,Maharashtra,Dhule,2796188641.0,1045774551.734,634734821.507,95070413.794,44739018.256000005,522887275.867,1825911182.573
498,Maharashtra,Jalgaon,13684039649.44,5323091423.63216,3708374744.9982405,752622180.7192,232628674.04048002,3092592960.7734404,8880941732.48656
499,Maharashtra,Buldana,5302635888.64,2486936231.77216,1824106745.6921601,355276604.53888,185592256.1024,1543067043.5942402,3229305256.1817603
500,Maharashtra,Akola,2542529352.25,1207701442.31875,859374921.0604999,180519584.00974998,94073586.03325,785641569.8452499,1838248721.67675
501,Maharashtra,Washim,1094590757.16,506795520.56508005,390768900.3061201,73337580.72972001,28459359.686160002,301012458.21900004,736659579.5686799
502,Maharashtra,Amravati,6112346942.25,2726106736.2435,1913164592.9242501,403414898.1885,177258061.32524997,2512174593.26475,4804304696.6085
503,Maharashtra,Wardha,1510907996.16,660266794.32192,362617919.0784,143536259.6352,55903595.857920006,713148574.1875201,1184551868.9894402
504,Maharashtra,Nagpur,17118215899.56,6676104200.8284,4057017168.1957197,1420811919.6634803,479310045.18768,7891497529.69716,15406394309.603998
505,Maharashtra,Bhandara,1270337907.24,553867327.55664,317584476.81,102897370.48643999,43191488.84616,708848552.23992,1070894855.80332
506,Maharashtra,Gondiya,1493938452.25,602057196.25675,403363382.1075,77684799.517,49299968.92425,709620764.81875,1154814423.58925
507,Maharashtra,Gadchiroli,1094551056.0,466278749.856,295528785.12,95225941.872,43782042.24,242990334.432,721309145.904
508,Maharashtra,Chandrapur,4687524690.25,1935947697.0732498,1181256221.943,525002765.30799997,159375839.46850002,1364069684.86275,3360955202.90925
509,Maharashtra,Yavatmal,6370146894.24,2987598893.3985596,1866453040.01232,515981898.43343997,248435728.87535998,1388692022.94432,4344440181.87168
510,Maharashtra,Nanded,6751613091.24,3456825902.7148805,2363064581.934,526625821.11671996,270064523.64959997,1296309713.5180798,4942180782.78768
511,Maharashtra,Hingoli,808657281.61,377642950.51187,312950367.98307,48519436.8966,25068375.72991,217528808.75309,531287834.01777
512,Maharashtra,Parbhani,1825331631.21,863381861.56233,653468723.9731799,151502525.39043,80314591.77324,242769106.95093003,1221146861.2794902
513,Maharashtra,Jalna,2528380089.0,1036635836.49,922858732.485,174458226.14100003,78379782.759,738286985.988,1774922822.4780002
514,Maharashtra,Aurangabad,9586994734.24,3806036909.49328,2166660809.93824,766959578.7392,134217926.27936,1898224957.37952,8379033397.72576
515,Maharashtra,Nashik,27853340206.24,9609402371.1528,6768361670.116321,1559787051.54944,696333505.156,8161028680.42832,19246658082.511837
516,Maharashtra,Thane,130910166588.01,48174941304.38767,28407506149.598167,7592789662.104579,1440011832.46811,51971336135.43997,97528074108.06744
517,Maharashtra,Mumbai Suburban,94791880112.41,,25688599510.46311,,1327086321.57374,,51851158421.48827
518,Maharashtra,Mumbai,12261597970.41,,3212538668.24742,,183923969.55615,,8215270640.1747
519,Maharashtra,Raigarh,9197347047.84,2602849214.53872,1627930427.46768,331104493.72224003,101170817.52624,4681449647.350559,7449851108.750401
520,Maharashtra,Pune,103842291168.49,24818307589.26911,21703038854.21441,5088272267.256011,1349949785.19037,64174535942.126816,83593044390.63446
521,Maharashtra,Ahmadnagar,17513981472.16,5359278330.48096,4045729720.06896,1296034628.93984,437849536.804,6847966755.61456,12890290363.509758
522,Maharashtra,Bid,4880014420.41,2000805912.3681,1503044441.48628,390401153.6328,141520418.19189,751522220.74314,3372089964.5033092
523,Maharashtra,Latur,3429648394.24,1375289006.0902398,1049472408.6374401,195489958.47168,89170858.25024,850552801.7715199,2671696099.11296
524,Maharashtra,Osmanabad,1980161001.0,756421502.3820001,625730876.3160001,122769982.062,55444508.02799999,439595742.22199994,1144533058.5779998
525,Maharashtra,Solapur,13368701253.61,3957135571.06856,4117559986.1118803,1042758697.7815801,254005323.81859002,4291353102.4088106,8141539063.44849
526,Maharashtra,Satara,9515436718.41,2645291407.71798,1969695400.7108698,504318146.07572997,256916791.39707002,6670321139.605409,7174639285.68114
527,Maharashtra,Ratnagiri,4087837670.44,1173209411.41628,678581053.29304,167601344.48804,77668915.73835999,2747026914.5356803,3352026889.7608004
528,Maharashtra,Sindhudurg,1161691788.96,320626933.75296,276482645.77248,53437822.29216,34850753.668800004,864298690.98624,1008348472.8172799
529,Maharashtra,Kolhapur,13907815105.96,3379599070.74828,3087534953.5231194,278156302.1192,166893781.27152,10347414438.83424,10389137884.152119
530,Maharashtra,Sangli,7287575909.29,1996795799.14546,1843756705.0503702,371666371.37378997,174901821.82296,4408983425.12045,5655158905.609039
531,Telangana,Adilabad,6686561857.96,2387102583.2917204,1571342036.6206,434626520.76739997,187223732.02288,922745536.39848,4727399233.577721
532,Telangana,Nizamabad,5188292088.04,1649876883.99672,1317826190.36216,223096559.78572,114142425.93688002,1525357873.8837597,4435989735.2741995
533,Telangana,Karimnagar,13578774784.0,4399523030.016,2851542704.64,692517513.984,244417946.11200002,4643940976.128,11460485917.696001
534,Telangana,Medak,6227293134.24,2154643424.44704,1208094868.0425599,274000897.90656,74727517.61087999,1980279216.68832,5268289991.5670395
535,Telangana,Hyderabad,11369722315.21,,2171616962.20511,,102327500.83689,,11199176480.481848
536,Telangana,Rangareddy,24377263876.84,6216202288.5942,3949116748.04808,536299805.29048,170640847.13787997,10604109786.4254,23402173321.766403
537,Telangana,Mahbubnagar,10201303002.25,3142001324.693,1938247570.4275,632480786.1395,173422151.03825,1826033237.40275,7967217644.75725
538,Telangana,Nalgonda,10628310979.69,3634882355.053981,2582679568.06467,627070347.80171,180681286.65473,3390431202.52111,8630188515.508282
539,Telangana,Warangal,10961817781.69,4253185299.2957196,2597950814.26053,931754511.44365,317892715.66901,3255659881.16193,9032537852.11256
540,Telangana,Khammam,7579878906.25,2569578949.21875,1713052632.8125,394153703.125,166757335.93750003,2834874710.9375,6473216585.9375
541,Andhra Pradesh,Srikakulam,8143907340.96,2614194256.44816,1742796170.9654398,285036756.9336,138446424.79632,1042420139.6428801,5366834937.69264
542,Andhra Pradesh,Vizianagaram,5617712361.96,1735873119.84564,1123542472.392,185384507.94467998,106736534.87723999,601095222.72972,3730161008.34144
543,Andhra Pradesh,Visakhapatnam,19025788356.0,5650659141.731999,3234384020.52,608825227.3920001,209283671.916,4071518708.1839995,15886533277.26
544,Andhra Pradesh,East Godavari,25787253172.81,7839324964.53424,5389535913.1172905,1005702873.73959,438383303.93777,12120008991.220701,22512272019.86313
545,Andhra Pradesh,West Godavari,15766016743.84,4729805023.152,3326629532.9502406,756768803.70432,346852368.3644801,9286183862.12176,13984456851.786081
546,Andhra Pradesh,Krishna,21795620795.56,6713051205.03248,4380919779.90756,959007315.0046402,370525553.52452004,12249138887.104721,20269927339.8708
547,Andhra Pradesh,Guntur,25058573401.0,7768157754.31,5487827574.818999,1052460082.842,476112894.619,11652236631.465,21625548845.063
548,Andhra Pradesh,Prakasam,11828193806.25,3524801754.2625,2507577086.925,496784139.8625,236563876.125,3311894265.75,9155022006.0375
549,Andhra Pradesh,Sri Potti Sriramulu Nellore,9091870411.69,2536631844.86151,1509250488.3405402,390950427.70267,172745537.82211,2318426954.98095,7164393884.41172
550,Andhra Pradesh,Y.S.R.,7816204326.49,1711748747.5013099,1453814004.7271402,203221312.48874,85978247.59139,2219802028.72316,6182617622.253589
551,Andhra Pradesh,Kurnool,11899209972.25,3212786692.5075,2498834094.1725,392673929.08425,166588939.6115,3284181952.3410006,8650725649.82575
552,Andhra Pradesh,Anantapur,15486010471.84,3360464272.38928,3236576188.61456,449094303.68336,201318136.13392,3406922303.8048,11800339979.54208
553,Andhra Pradesh,Chittoor,,,,,,,
554,Karnataka,Belgaum,17396950506.25,6697825944.90625,4436222379.09375,817656673.79375,330542059.61875,3218435843.65625,12595392166.525
555,Karnataka,Bagalkot,2407442916.49,1032793011.17421,792048719.5252099,125187031.65747999,89075387.91013001,173335889.98728,1023163239.50825
556,Karnataka,Bijapur,2782457001.0,1160284569.417,770740589.277,189207076.068,80691253.029,139122850.05,1655561915.595
557,Karnataka,Bidar,1516346964.09,859768728.63903,454904089.227,75817348.2045,45490408.922699995,133438532.83992,1032632282.5452899
558,Karnataka,Raichur,2077973991.04,897684764.1292801,642093963.23136,147536153.36383998,74807063.67744,207797399.104,1047298891.48416
559,Karnataka,Koppal,1140068472.01,449186977.97194,304398282.02667,59283560.544520006,42182533.464370005,136808216.64119998,551793140.45284
560,Karnataka,Gadag,852476487.84,356335171.91712,304334106.15888005,43476300.87984,28984200.58656,78427836.88127999,360597554.35631996
561,Karnataka,Dharwad,2333894748.16,942893478.2566398,676829476.9664,91021895.17824,46677894.963199995,539129686.82496,1913793693.4912
562,Karnataka,Uttara Kannada,2254274432.64,1084306002.09984,840844363.3747199,144273563.68896,72136781.84448,1140662862.91584,1816945192.7078397
563,Karnataka,Haveri,1710351820.96,767947967.61104,511395194.46704,85517591.04800001,49600202.807840005,482319213.51072,1192115219.20912
564,Karnataka,Bellary,3887273104.0,1551021968.496,1119534653.952,209912747.61600003,116618193.12,470360045.584,2468418421.04
565,Karnataka,Chitradurga,2001202331.04,900541048.968,634381138.93968,118070937.53136,40024046.620799996,382229645.22863996,1478888522.6385603
566,Karnataka,Davanagere,2816329374.81,1298327841.78741,864613118.06667,163347103.73898,78857222.49467999,839266153.69338,2278410464.22129
567,Karnataka,Shimoga,3070334592.36,1406213243.3008797,988647738.7399201,224134425.24228,98250706.95552,1897466778.07848,2692683437.49972
568,Karnataka,Udupi,1485246813.21,512410150.55745006,371311703.3025,62380366.15482,31190183.07741,1241666335.84356,1425836940.6816
569,Karnataka,Chikmagalur,1539981654.76,700691652.9158,469694404.7018,84698991.0118,44659467.98804,833130075.2251601,1376743599.3554401
570,Karnataka,Tumkur,7925308185.64,3241451047.92676,2211160983.79356,459667874.76712,198132704.64100003,1450331397.97212,6538379253.153001
571,Karnataka,Bangalore,106795625616.0,30757140177.408005,21252329497.584,2669890640.4,1174751881.776,79883127960.768,103378165596.288
572,Karnataka,Mandya,3161835392.04,1397531243.28168,977007136.14036,142282592.64180002,98016897.15324,869504732.8110001,2716016601.76236
573,Karnataka,Hassan,3956170983.61,1926655269.01807,1174982782.13217,245282600.98382,94948103.60664,1056297652.6238699,3556597714.2653904
